test,Acceptable if,equation,parameter,coefficient,classical_std_error,classical_p_value,hc3_std_error,hc3_p_value,hac_newey_west_std_error,hac_newey_west_p_value,classical_significant_at_5pct,hc3_significant_at_5pct,hac_significant_at_5pct,significance_changed_hc3,significance_changed_hac
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L4.M2_GROWTH,0.028654415917807374,0.13447658903959975,0.8313870792639574,0.2628449348789309,0.9132515792112192,0.11757028890447663,0.8075884444545541,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,FEDFUNDS,0.08400998568625198,0.030875557534225054,0.006833370122427554,0.03746204406372238,0.025548735327300308,0.03593752261808802,0.01996424648019048,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,SENTIMENT_CHANGE,0.03525266847428259,0.01225278894881333,0.004258045021342987,0.03515091059822506,0.3166004935070081,0.03368382917946459,0.2960135491692383,True,False,False,True,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,const,0.2280635153237342,0.12369170618339678,0.06605173118931962,0.15711878188080228,0.14752140708918512,0.161679375266467,0.159248267850827,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L1.INF,-0.35838270748869316,0.08799054292600061,5.7383274665942906e-05,0.14573788138857546,0.014409451310545726,0.12925329283723608,0.005854899911295707,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L1.UNRATE,0.03232453918084127,0.06046816384568864,0.5932838845681672,0.14772316056237664,0.8269183636124151,0.09988692831820381,0.7464245076078104,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L1.INDPRO_GROWTH,-0.09464605157636152,0.032389410182182415,0.0037010351913391143,0.05632963830506568,0.09380216142534684,0.03681221225442581,0.010549216222058492,True,False,True,True,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L1.M2_GROWTH,0.4586958887989943,0.059729144542575545,1.5946235210279329e-13,0.21843365628237402,0.036446115149342304,0.16041257324938238,0.004496366669466837,True,True,True,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L2.INF,0.010309822105762229,0.10014704383862992,0.918063782475723,0.14388815890435502,0.942919838172569,0.10604585760332116,0.9226066888323087,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L2.UNRATE,-0.19019136310183776,0.07282278147216552,0.009394945764391989,0.23427991091274508,0.4174478495615011,0.08646549807539344,0.028483356810905098,True,False,True,True,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",M2_GROWTH,L2.INDPRO_GROWTH,-0.008276842455042531,0.03323678665923249,0.8034854806486688,0.04593057653407964,0.8570966485567019,0.03866802272285663,0.8306329662339664,False,False,False,False,False
